round,giver,receiver,tokens,
1,Joseph,Sharon,8,
1,Joseph,David,2,
1,Joseph,Adam,0,
1,Joseph,Samuel,0,
1,Joseph,Aaron,0,
1,Joseph,Joseph,0,
1,Joseph,Melchizedek,4,
2,Adam,Jeremiah,0,
2,Adam,Sharon,0,
2,Adam,David,5,
2,Adam,Adam,0,
2,Adam,Samuel,3,
2,Adam,Aaron,0,
2,Adam,Joseph,0,
2,Adam,Melchizedek,8,
2,David,Jeremiah,0,
2,David,Sharon,0,
2,David,David,0,
2,David,Adam,6,
2,David,Samuel,0,
2,David,Aaron,5,
2,David,Joseph,5,
2,David,Melchizedek,0,
2,Sharon,Jeremiah,0,
2,Sharon,Sharon,0,
2,Sharon,David,0,
2,Sharon,Adam,0,
2,Sharon,Samuel,0,
2,Sharon,Aaron,8,
2,Sharon,Joseph,8,
2,Sharon,Melchizedek,0,
2,Melchizedek,Jeremiah,0,
2,Melchizedek,Sharon,0,
2,Melchizedek,David,0,
2,Melchizedek,Adam,2,
2,Melchizedek,Samuel,9,
2,Melchizedek,Aaron,0,
2,Melchizedek,Joseph,5,
2,Melchizedek,Melchizedek,0,
2,Samuel,Jeremiah,0,
2,Samuel,Sharon,0,
2,Samuel,David,7,
2,Samuel,Adam,3,
2,Samuel,Samuel,0,
2,Samuel,Aaron,0,
2,Samuel,Joseph,0,
2,Samuel,Melchizedek,6,
2,Aaron,Jeremiah,0,
2,Aaron,Sharon,8,
2,Aaron,David,4,
2,Aaron,Adam,0,
2,Aaron,Samuel,3,
2,Aaron,Aaron,0,
2,Aaron,Joseph,1,
2,Aaron,Melchizedek,0,
2,Jeremiah,Jeremiah,0,
2,Jeremiah,Sharon,6,
2,Jeremiah,David,0,
2,Jeremiah,Adam,0,
2,Jeremiah,Samuel,6,
2,Jeremiah,Aaron,0,
2,Jeremiah,Joseph,4,
2,Jeremiah,Melchizedek,0,
2,Joseph,Jeremiah,1,
2,Joseph,Sharon,8,
2,Joseph,David,2,
2,Joseph,Adam,0,
2,Joseph,Samuel,0,
2,Joseph,Aaron,0,
2,Joseph,Joseph,0,
2,Joseph,Melchizedek,5,
3,Sharon,Jeremiah,0,
3,Sharon,Sharon,0,
3,Sharon,David,0,
3,Sharon,Adam,0,
3,Sharon,Samuel,0,
3,Sharon,Aaron,8,
3,Sharon,Joseph,8,
3,Sharon,Melchizedek,0,
3,David,Jeremiah,7,
3,David,Sharon,0,
3,David,David,0,
3,David,Adam,5,
3,David,Samuel,0,
3,David,Aaron,4,
3,David,Joseph,0,
3,David,Melchizedek,0,
3,Jeremiah,Jeremiah,0,
3,Jeremiah,Sharon,0,
3,Jeremiah,David,8,
3,Jeremiah,Adam,0,
3,Jeremiah,Samuel,0,
3,Jeremiah,Aaron,8,
3,Jeremiah,Joseph,0,
3,Jeremiah,Melchizedek,0,
3,Melchizedek,Jeremiah,0,
3,Melchizedek,Sharon,0,
3,Melchizedek,David,5,
3,Melchizedek,Adam,6,
3,Melchizedek,Samuel,5,
3,Melchizedek,Aaron,0,
3,Melchizedek,Joseph,0,
3,Melchizedek,Melchizedek,0,
3,Joseph,Jeremiah,2,
3,Joseph,Sharon,8,
3,Joseph,David,2,
3,Joseph,Adam,0,
3,Joseph,Samuel,0,
3,Joseph,Aaron,0,
3,Joseph,Joseph,0,
3,Joseph,Melchizedek,4,
